@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
1,'2020/10/01 16:47:04:433',1,0,0,0,0,0,0,1
2,'2020/10/01 16:47:04:440',1,0,0,0,0,0,0,1
3,'2020/10/01 16:47:04:441',1,0,0,0,0,0,0,1
4,'2020/10/01 16:47:04:441',1,0,0,0,0,0,0,1
5,'2020/10/01 16:47:04:441',1,0,0,0,0,0,0,1
6,'2020/10/01 16:47:04:441',1,0,0,0,0,0,0,1
7,'2020/10/01 16:47:04:538',1,0,0,0,0,0,0,1
8,'2020/10/01 16:47:04:538',1,0,0,0,0,0,0,1
9,'2020/10/01 16:47:04:538',1,0,0,0,0,0,0,1
10,'2020/10/01 16:47:04:538',1,0,0,0,0,0,0,1
11,'2020/10/01 16:47:04:538',1,0,0,0,0,0,0,1
12,'2020/10/01 16:47:04:538',1,0,0,0,0,0,0,1
13,'2020/10/01 16:47:04:630',1,0,0,0,0,0,0,1
14,'2020/10/01 16:47:04:631',1,0,0,0,0,0,0,1
15,'2020/10/01 16:47:04:631',1,0,0,0,0,0,0,1
16,'2020/10/01 16:47:04:631',1,0,0,0,0,0,0,1
17,'2020/10/01 16:47:04:631',1,0,0,0,0,0,0,1
18,'2020/10/01 16:47:04:631',1,0,0,0,0,0,0,1
19,'2020/10/01 16:47:04:735',1,0,0,0,0,0,0,1
20,'2020/10/01 16:47:04:735',1,0,0,0,0,0,0,1
21,'2020/10/01 16:47:04:735',1,0,0,0,0,0,0,1
22,'2020/10/01 16:47:04:735',1,0,0,0,0,0,0,1
23,'2020/10/01 16:47:04:735',1,0,0,0,0,0,0,1
24,'2020/10/01 16:47:04:735',1,0,0,0,0,0,0,1
25,'2020/10/01 16:47:04:839',1,0,0,0,0,0,0,1
26,'2020/10/01 16:47:04:839',1,0,0,0,0,0,0,1
27,'2020/10/01 16:47:04:839',1,0,0,0,0,0,0,1
28,'2020/10/01 16:47:04:839',1,0,0,0,0,0,0,1
29,'2020/10/01 16:47:04:840',1,0,0,0,0,0,0,1
30,'2020/10/01 16:47:04:840',1,0,0,0,0,0,0,1
31,'2020/10/01 16:47:04:932',1,0,0,0,0,0,0,1
32,'2020/10/01 16:47:04:932',1,0,0,0,0,0,0,1
33,'2020/10/01 16:47:04:932',1,0,0,0,0,0,0,1
34,'2020/10/01 16:47:04:932',1,0,0,0,0,0,0,1
35,'2020/10/01 16:47:04:932',1,0,0,0,0,0,0,1
36,'2020/10/01 16:47:04:932',1,0,0,0,0,0,0,1
37,'2020/10/01 16:47:05:037',1,0,0,0,0,0,0,1
38,'2020/10/01 16:47:05:037',1,0,0,0,0,0,0,1
39,'2020/10/01 16:47:05:037',1,0,0,0,0,0,0,1
40,'2020/10/01 16:47:05:037',1,0,0,0,0,0,0,1
41,'2020/10/01 16:47:05:037',1,0,0,0,0,0,0,1
42,'2020/10/01 16:47:05:037',1,0,0,0,0,0,0,1
43,'2020/10/01 16:47:05:130',1,0,0,0,0,0,0,1
44,'2020/10/01 16:47:05:130',1,0,0,0,0,0,0,1
45,'2020/10/01 16:47:05:130',1,0,0,0,0,0,0,1
46,'2020/10/01 16:47:05:130',1,0,0,0,0,0,0,1
47,'2020/10/01 16:47:05:130',1,0,0,0,0,0,0,1
48,'2020/10/01 16:47:05:130',1,0,0,0,0,0,0,1
49,'2020/10/01 16:47:05:234',1,0,0,0,0,0,0,1
50,'2020/10/01 16:47:05:234',1,0,0,0,0,0,0,1
51,'2020/10/01 16:47:05:234',1,0,0,0,0,0,0,1
52,'2020/10/01 16:47:05:234',1,0,0,0,0,0,0,1
53,'2020/10/01 16:47:05:234',1,0,0,0,0,0,0,1
54,'2020/10/01 16:47:05:234',1,0,0,0,0,0,0,1
55,'2020/10/01 16:47:05:339',1,0,0,0,0,0,0,1
56,'2020/10/01 16:47:05:339',1,0,0,0,0,0,0,1
57,'2020/10/01 16:47:05:339',1,0,0,0,0,0,0,1
58,'2020/10/01 16:47:05:339',1,0,0,0,0,0,0,1
59,'2020/10/01 16:47:05:339',1,0,0,0,0,0,0,1
60,'2020/10/01 16:47:05:339',1,0,0,0,0,0,0,1
61,'2020/10/01 16:47:05:432',1,0,0,0,0,0,0,1
62,'2020/10/01 16:47:05:432',1,0,0,0,0,0,0,1
63,'2020/10/01 16:47:05:432',1,0,0,0,0,0,0,1
64,'2020/10/01 16:47:05:432',1,0,0,0,0,0,0,1
65,'2020/10/01 16:47:05:432',1,0,0,0,0,0,0,1
66,'2020/10/01 16:47:05:432',1,0,0,0,0,0,0,1
67,'2020/10/01 16:47:05:536',1,0,0,0,0,0,0,1
68,'2020/10/01 16:47:05:536',1,0,0,0,0,0,0,1
69,'2020/10/01 16:47:05:536',1,0,0,0,0,0,0,1
70,'2020/10/01 16:47:05:536',1,0,0,0,0,0,0,1
71,'2020/10/01 16:47:05:536',1,0,0,0,0,0,0,1
72,'2020/10/01 16:47:05:536',1,0,0,0,0,0,0,1
73,'2020/10/01 16:47:05:629',1,0,0,0,0,0,0,1
74,'2020/10/01 16:47:05:629',1,0,0,0,0,0,0,1
75,'2020/10/01 16:47:05:629',1,0,0,0,0,0,0,1
