@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
5323,'2020/10/21 20:53:56:076',7,0,39,314,3,6,1,0,0,0,0
5324,'2020/10/21 20:53:56:077',7,0,39,314,3,19,1,0,0,0,0
5325,'2020/10/21 20:53:56:077',7,0,39,314,1,19,1,0,0,0,0
5326,'2020/10/21 20:53:56:077',7,0,39,309,1,19,1,0,0,0,0
5327,'2020/10/21 20:53:56:077',7,0,40,309,1,19,1,0,0,0,0
5328,'2020/10/21 20:53:56:077',7,2,40,309,1,19,1,0,0,0,0
5329,'2020/10/21 20:53:56:168',7,2,40,309,1,19,0,0,0,0,0
5330,'2020/10/21 20:53:56:169',7,2,40,309,1,20,0,0,0,0,0
5331,'2020/10/21 20:53:56:169',7,2,40,309,1,20,0,0,0,0,0
5332,'2020/10/21 20:53:56:169',7,2,40,327,1,20,0,0,0,0,0
5333,'2020/10/21 20:53:56:169',7,2,39,327,1,20,0,0,0,0,0
5334,'2020/10/21 20:53:56:169',7,2,39,327,1,20,0,0,0,0,0
5335,'2020/10/21 20:53:56:274',7,2,39,327,1,20,0,0,0,0,0
5336,'2020/10/21 20:53:56:274',7,2,39,327,1,21,0,0,0,0,0
5337,'2020/10/21 20:53:56:274',7,2,39,327,2,21,0,0,0,0,0
5338,'2020/10/21 20:53:56:275',7,2,39,333,2,21,0,0,0,0,0
5339,'2020/10/21 20:53:56:275',7,2,39,333,2,21,0,0,0,0,0
5340,'2020/10/21 20:53:56:275',7,0,39,333,2,21,0,0,0,0,0
5341,'2020/10/21 20:53:56:377',7,0,39,333,2,21,1,0,0,0,0
5342,'2020/10/21 20:53:56:377',7,0,39,333,2,23,1,0,0,0,0
5343,'2020/10/21 20:53:56:378',7,0,39,333,1,23,1,0,0,0,0
5344,'2020/10/21 20:53:56:378',7,0,39,339,1,23,1,0,0,0,0
5345,'2020/10/21 20:53:56:378',7,0,41,339,1,23,1,0,0,0,0
5346,'2020/10/21 20:53:56:378',7,1,41,339,1,23,1,0,0,0,0
5347,'2020/10/21 20:53:56:470',7,1,41,339,1,23,0,0,0,0,0
5348,'2020/10/21 20:53:56:470',7,1,41,339,1,21,0,0,0,0,0
5349,'2020/10/21 20:53:56:470',7,1,41,339,0,21,0,0,0,0,0
5350,'2020/10/21 20:53:56:470',7,1,41,337,0,21,0,0,0,0,0
5351,'2020/10/21 20:53:56:471',7,1,41,337,0,21,0,0,0,0,0
5352,'2020/10/21 20:53:56:471',7,1,41,337,0,21,0,0,0,0,0
5353,'2020/10/21 20:53:56:575',7,1,41,337,0,21,1,0,0,0,0
5354,'2020/10/21 20:53:56:576',7,1,41,337,0,22,1,0,0,0,0
5355,'2020/10/21 20:53:56:576',7,1,41,337,1,22,1,0,0,0,0
5356,'2020/10/21 20:53:56:576',7,1,41,340,1,22,1,0,0,0,0
5357,'2020/10/21 20:53:56:576',7,1,41,340,1,22,1,0,0,0,0
5358,'2020/10/21 20:53:56:576',7,0,41,340,1,22,1,0,0,0,0
5359,'2020/10/21 20:53:56:679',7,0,41,340,1,22,0,0,0,0,0
5360,'2020/10/21 20:53:56:679',7,0,41,340,1,22,0,0,0,0,0
5361,'2020/10/21 20:53:56:679',7,0,41,340,0,22,0,0,0,0,0
5362,'2020/10/21 20:53:56:679',7,0,41,336,0,22,0,0,0,0,0
