@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
29275,'2020/10/01 16:11:29:442',179,0,0,0,0,0,0,0,0,0,0
29276,'2020/10/01 16:11:29:443',179,0,0,0,0,0,0,0,0,0,0
29277,'2020/10/01 16:11:29:443',179,0,0,0,0,0,0,0,0,0,0
29278,'2020/10/01 16:11:29:444',179,0,0,0,0,0,0,0,0,0,0
29279,'2020/10/01 16:11:29:444',179,0,0,0,0,0,0,0,0,0,0
29280,'2020/10/01 16:11:29:444',179,0,0,0,0,0,0,0,0,0,0
29281,'2020/10/01 16:11:29:534',179,0,0,0,0,0,0,0,0,0,0
29282,'2020/10/01 16:11:29:534',179,0,0,0,0,0,0,0,0,0,0
29283,'2020/10/01 16:11:29:534',179,0,0,0,0,0,0,0,0,0,0
29284,'2020/10/01 16:11:29:534',179,0,0,0,0,0,0,0,0,0,0
29285,'2020/10/01 16:11:29:534',179,0,0,0,0,0,0,0,0,0,0
29286,'2020/10/01 16:11:29:534',179,0,0,0,0,0,0,0,0,0,0
29287,'2020/10/01 16:11:29:640',179,0,0,0,0,0,0,0,0,0,0
29288,'2020/10/01 16:11:29:640',179,0,0,0,0,0,0,0,0,0,0
29289,'2020/10/01 16:11:29:640',179,0,0,0,0,0,0,0,0,0,0
29290,'2020/10/01 16:11:29:640',179,0,0,0,0,0,0,0,0,0,0
29291,'2020/10/01 16:11:29:640',179,0,0,0,0,0,0,0,0,0,0
29292,'2020/10/01 16:11:29:640',179,0,0,0,0,0,0,0,0,0,0
29293,'2020/10/01 16:11:29:733',179,0,0,0,0,0,0,0,0,0,0
29294,'2020/10/01 16:11:29:733',179,0,0,0,0,0,0,0,0,0,0
29295,'2020/10/01 16:11:29:733',179,0,0,0,0,0,0,0,0,0,0
29296,'2020/10/01 16:11:29:733',179,0,0,0,0,0,0,0,0,0,0
29297,'2020/10/01 16:11:29:733',179,0,0,0,0,0,0,0,0,0,0
29298,'2020/10/01 16:11:29:733',179,0,0,0,0,0,0,0,0,0,0
29299,'2020/10/01 16:11:29:836',179,0,0,0,0,0,0,0,0,0,0
29300,'2020/10/01 16:11:29:836',179,0,0,0,0,0,0,0,0,0,0
29301,'2020/10/01 16:11:29:836',179,0,0,0,0,0,0,0,0,0,0
29302,'2020/10/01 16:11:29:836',179,0,0,0,0,0,0,0,0,0,0
29303,'2020/10/01 16:11:29:836',179,0,0,0,0,0,0,0,0,0,0
29304,'2020/10/01 16:11:29:836',179,0,0,0,0,0,0,0,0,0,0
29305,'2020/10/01 16:11:29:941',179,0,0,0,0,0,0,0,0,0,0
29306,'2020/10/01 16:11:29:941',179,0,0,0,0,0,0,0,0,0,0
29307,'2020/10/01 16:11:29:941',179,0,0,0,0,0,0,0,0,0,0
29308,'2020/10/01 16:11:29:941',179,0,0,0,0,0,0,0,0,0,0
29309,'2020/10/01 16:11:29:941',179,0,0,0,0,0,0,0,0,0,0
29310,'2020/10/01 16:11:29:941',179,0,0,0,0,0,0,0,0,0,0
29311,'2020/10/01 16:11:30:033',179,0,0,0,0,0,0,0,0,0,0
29312,'2020/10/01 16:11:30:033',179,0,0,0,0,0,0,0,0,0,0
29313,'2020/10/01 16:11:30:033',179,0,0,0,0,0,0,0,0,0,0
29314,'2020/10/01 16:11:30:033',179,0,0,0,0,0,0,0,0,0,0
29315,'2020/10/01 16:11:30:033',179,0,0,0,0,0,0,0,0,0,0
29316,'2020/10/01 16:11:30:033',179,0,0,0,0,0,0,0,0,0,0
29317,'2020/10/01 16:11:30:139',179,0,0,0,0,0,0,0,0,0,0
29318,'2020/10/01 16:11:30:141',179,0,0,0,0,0,0,0,0,0,0
29319,'2020/10/01 16:11:30:141',179,0,0,0,0,0,0,0,0,0,0
29320,'2020/10/01 16:11:30:141',179,0,0,0,0,0,0,0,0,0,0
29321,'2020/10/01 16:11:30:141',179,0,0,0,0,0,0,0,0,0,0
29322,'2020/10/01 16:11:30:141',179,0,0,0,0,0,0,0,0,0,0
29323,'2020/10/01 16:11:30:230',179,0,0,0,0,0,0,0,0,0,0
29324,'2020/10/01 16:11:30:231',179,0,0,0,0,0,0,0,0,0,0
29325,'2020/10/01 16:11:30:231',179,0,0,0,0,0,0,0,0,0,0
29326,'2020/10/01 16:11:30:231',179,0,0,0,0,0,0,0,0,0,0
29327,'2020/10/01 16:11:30:231',179,0,0,0,0,0,0,0,0,0,0
29328,'2020/10/01 16:11:30:231',179,0,0,0,0,0,0,0,0,0,0
29329,'2020/10/01 16:11:30:335',179,0,0,0,0,0,0,0,0,0,0
29330,'2020/10/01 16:11:30:335',179,0,0,0,0,0,0,0,0,0,0
29331,'2020/10/01 16:11:30:335',179,0,0,0,0,0,0,0,0,0,0
29332,'2020/10/01 16:11:30:335',179,0,0,0,0,0,0,0,0,0,0
29333,'2020/10/01 16:11:30:335',179,0,0,0,0,0,0,0,0,0,0
29334,'2020/10/01 16:11:30:335',179,0,0,0,0,0,0,0,0,0,0
29335,'2020/10/01 16:11:30:439',179,0,0,0,0,0,0,0,0,0,0
29336,'2020/10/01 16:11:30:439',179,0,0,0,0,0,0,0,0,0,0
29337,'2020/10/01 16:11:30:440',179,0,0,0,0,0,0,0,0,0,0
29338,'2020/10/01 16:11:30:440',179,0,0,0,0,0,0,0,0,0,0
29339,'2020/10/01 16:11:30:440',179,0,0,0,0,0,0,0,0,0,0
29340,'2020/10/01 16:11:30:440',179,0,0,0,0,0,0,0,0,0,0
29341,'2020/10/01 16:11:30:532',179,0,0,0,0,0,0,0,0,0,0
29342,'2020/10/01 16:11:30:532',179,0,0,0,0,0,0,0,0,0,0
29343,'2020/10/01 16:11:30:532',179,0,0,0,0,0,0,0,0,0,0
29344,'2020/10/01 16:11:30:532',179,0,0,0,0,0,0,0,0,0,0
29345,'2020/10/01 16:11:30:532',179,0,0,0,0,0,0,0,0,0,0
29346,'2020/10/01 16:11:30:532',179,0,0,0,0,0,0,0,0,0,0
29347,'2020/10/01 16:11:30:638',179,0,0,0,0,0,0,0,0,0,0
29348,'2020/10/01 16:11:30:639',179,0,0,0,0,0,0,0,0,0,0
29349,'2020/10/01 16:11:30:639',179,0,0,0,0,0,0,0,0,0,0
29350,'2020/10/01 16:11:30:639',179,0,0,0,0,0,0,0,0,0,0
29351,'2020/10/01 16:11:30:639',179,0,0,0,0,0,0,0,0,0,0
29352,'2020/10/01 16:11:30:639',179,0,0,0,0,0,0,0,0,0,0
29353,'2020/10/01 16:11:30:741',179,0,0,0,0,0,0,0,0,0,0
29354,'2020/10/01 16:11:30:741',179,0,0,0,0,0,0,0,0,0,0
29355,'2020/10/01 16:11:30:742',179,0,0,0,0,0,0,0,0,0,0
29356,'2020/10/01 16:11:30:742',179,0,0,0,0,0,0,0,0,0,0
29357,'2020/10/01 16:11:30:742',179,0,0,0,0,0,0,0,0,0,0
29358,'2020/10/01 16:11:30:742',179,0,0,0,0,0,0,0,0,0,0
29359,'2020/10/01 16:11:30:834',179,0,0,0,0,0,0,0,0,0,0
29360,'2020/10/01 16:11:30:834',179,0,0,0,0,0,0,0,0,0,0
29361,'2020/10/01 16:11:30:834',179,0,0,0,0,0,0,0,0,0,0
29362,'2020/10/01 16:11:30:834',179,0,0,0,0,0,0,0,0,0,0
29363,'2020/10/01 16:11:30:835',179,0,0,0,0,0,0,0,0,0,0
29364,'2020/10/01 16:11:30:835',179,0,0,0,0,0,0,0,0,0,0
29365,'2020/10/01 16:11:30:939',179,0,0,0,0,0,0,0,0,0,0
29366,'2020/10/01 16:11:30:939',179,0,0,0,0,0,0,0,0,0,0
29367,'2020/10/01 16:11:30:939',179,0,0,0,0,0,0,0,0,0,0
29368,'2020/10/01 16:11:30:939',179,0,0,0,0,0,0,0,0,0,0
29369,'2020/10/01 16:11:30:939',179,0,0,0,0,0,0,0,0,0,0
29370,'2020/10/01 16:11:30:939',179,0,0,0,0,0,0,0,0,0,0
29371,'2020/10/01 16:11:31:031',179,0,0,0,0,0,0,0,0,0,0
29372,'2020/10/01 16:11:31:032',179,0,0,0,0,0,0,0,0,0,0
29373,'2020/10/01 16:11:31:032',179,0,0,0,0,0,0,0,0,0,0
29374,'2020/10/01 16:11:31:032',179,0,0,0,0,0,0,0,0,0,0
29375,'2020/10/01 16:11:31:032',179,0,0,0,0,0,0,0,0,0,0
29376,'2020/10/01 16:11:31:032',179,0,0,0,0,0,0,0,0,0,0
29377,'2020/10/01 16:11:31:136',179,0,0,0,0,0,0,0,0,0,0
